Date : 2023-06-05 06:55:07
Directory : d:\Flutter Application\book_store\lib
Total : 51 files,  1187 codes, 0 comments, 125 blanks, all 1312 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         51 |      1,187 |          0 |        125 |      1,312 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         51 |      1,187 |          0 |        125 |      1,312 |
| . (Files)                                                                                          |          1 |          3 |          0 |          0 |          3 |
| AddressSetting                                                                                     |          1 |         -3 |          0 |          1 |         -2 |
| AddressSetting\ui                                                                                  |          1 |         -3 |          0 |          1 |         -2 |
| Category                                                                                           |          7 |       -143 |          0 |          0 |       -143 |
| Category (Files)                                                                                   |          1 |        -59 |          0 |          0 |        -59 |
| Category\ChildCategory                                                                             |          1 |        -14 |          0 |          0 |        -14 |
| Category\ChildCategory\ui                                                                          |          1 |        -14 |          0 |          0 |        -14 |
| Category\ComicCategory                                                                             |          1 |        -14 |          0 |          0 |        -14 |
| Category\ComicCategory\ui                                                                          |          1 |        -14 |          0 |          0 |        -14 |
| Category\LiteratureCategory                                                                        |          1 |        -14 |          0 |          0 |        -14 |
| Category\LiteratureCategory\ui                                                                     |          1 |        -14 |          0 |          0 |        -14 |
| Category\OtherCategory                                                                             |          1 |        -14 |          0 |          0 |        -14 |
| Category\OtherCategory\ui                                                                          |          1 |        -14 |          0 |          0 |        -14 |
| Category\SGKCategory                                                                               |          1 |        -14 |          0 |          0 |        -14 |
| Category\SGKCategory\ui                                                                            |          1 |        -14 |          0 |          0 |        -14 |
| Category\ScienceCategory                                                                           |          1 |        -14 |          0 |          0 |        -14 |
| Category\ScienceCategory\ui                                                                        |          1 |        -14 |          0 |          0 |        -14 |
| Checkout                                                                                           |          6 |        473 |          2 |         36 |        511 |
| Checkout\bloc                                                                                      |          3 |        204 |          2 |         26 |        232 |
| Checkout\ui                                                                                        |          3 |        269 |          0 |         10 |        279 |
| CustomWidget                                                                                       |          3 |         99 |          0 |          3 |        102 |
| Home                                                                                               |          1 |        -64 |         -3 |          0 |        -67 |
| Home\ui                                                                                            |          1 |        -64 |         -3 |          0 |        -67 |
| OrderBill                                                                                          |          1 |          6 |          0 |          0 |          6 |
| OrderBill\ui                                                                                       |          1 |          6 |          0 |          0 |          6 |
| ProductDetail                                                                                      |          3 |         21 |          0 |          4 |         25 |
| ProductDetail\bloc                                                                                 |          2 |         18 |          0 |          4 |         22 |
| ProductDetail\ui                                                                                   |          1 |          3 |          0 |          0 |          3 |
| SearchPage                                                                                         |          7 |        392 |          0 |         54 |        446 |
| SearchPage\bloc                                                                                    |          3 |        134 |          0 |         39 |        173 |
| SearchPage\ui                                                                                      |          4 |        258 |          0 |         15 |        273 |
| Transaction                                                                                        |         15 |        300 |          1 |         13 |        314 |
| Transaction\AwaitPickup                                                                            |          3 |         39 |          0 |          5 |         44 |
| Transaction\AwaitPickup\bloc                                                                       |          2 |         20 |          0 |          5 |         25 |
| Transaction\AwaitPickup\ui                                                                         |          1 |         19 |          0 |          0 |         19 |
| Transaction\Cancelled                                                                              |          1 |         13 |          0 |          0 |         13 |
| Transaction\Cancelled\ui                                                                           |          1 |         13 |          0 |          0 |         13 |
| Transaction\Delivered                                                                              |          1 |         13 |          0 |          0 |         13 |
| Transaction\Delivered\ui                                                                           |          1 |         13 |          0 |          0 |         13 |
| Transaction\Delivering                                                                             |          2 |         45 |          1 |          0 |         46 |
| Transaction\Delivering\bloc                                                                        |          1 |         15 |          1 |          0 |         16 |
| Transaction\Delivering\ui                                                                          |          1 |         30 |          0 |          0 |         30 |
| Transaction\Unconfirmed                                                                            |          3 |         29 |          0 |          4 |         33 |
| Transaction\Unconfirmed\bloc                                                                       |          2 |         20 |          0 |          4 |         24 |
| Transaction\Unconfirmed\ui                                                                         |          1 |          9 |          0 |          0 |          9 |
| Transaction\ui                                                                                     |          5 |        161 |          0 |          4 |        165 |
| models                                                                                             |          4 |         90 |          0 |         11 |        101 |
| utils                                                                                              |          2 |         13 |          0 |          3 |         16 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutter Application\book_store\lib\AddressSetting\ui\address_setting.dart                       | Dart     |         -3 |          0 |          1 |         -2 |
| d:\Flutter Application\book_store\lib\Category\ChildCategory\ui\child_category_page.dart           | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\ComicCategory\ui\comic_category_page.dart           | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\LiteratureCategory\ui\literature_category_page.dart | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\OtherCategory\ui\other_category_page.dart           | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\SGKCategory\ui\sgk_category_page.dart               | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\ScienceCategory\ui\science_category_page.dart       | Dart     |        -14 |          0 |          0 |        -14 |
| d:\Flutter Application\book_store\lib\Category\category_page.dart                                  | Dart     |        -59 |          0 |          0 |        -59 |
| d:\Flutter Application\book_store\lib\Checkout\bloc\checkout_bloc.dart                             | Dart     |        172 |          0 |         19 |        191 |
| d:\Flutter Application\book_store\lib\Checkout\bloc\checkout_event.dart                            | Dart     |         21 |          2 |          6 |         29 |
| d:\Flutter Application\book_store\lib\Checkout\bloc\checkout_state.dart                            | Dart     |         11 |          0 |          1 |         12 |
| d:\Flutter Application\book_store\lib\Checkout\ui\checkout_page.dart                               | Dart     |         77 |          0 |          3 |         80 |
| d:\Flutter Application\book_store\lib\Checkout\ui\payment_method_page.dart                         | Dart     |        184 |          0 |          7 |        191 |
| d:\Flutter Application\book_store\lib\Checkout\ui\transport_page.dart                              | Dart     |          8 |          0 |          0 |          8 |
| d:\Flutter Application\book_store\lib\CustomWidget\custom_list_tile.dart                           | Dart     |         -9 |          0 |          0 |         -9 |
| d:\Flutter Application\book_store\lib\CustomWidget\product_item.dart                               | Dart     |         32 |          0 |          0 |         32 |
| d:\Flutter Application\book_store\lib\CustomWidget\search_bar.dart                                 | Dart     |         76 |          0 |          3 |         79 |
| d:\Flutter Application\book_store\lib\Home\ui\home_page.dart                                       | Dart     |        -64 |         -3 |          0 |        -67 |
| d:\Flutter Application\book_store\lib\OrderBill\ui\order_bill_page.dart                            | Dart     |          6 |          0 |          0 |          6 |
| d:\Flutter Application\book_store\lib\ProductDetail\bloc\product_bloc.dart                         | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter Application\book_store\lib\ProductDetail\bloc\product_event.dart                        | Dart     |          4 |          0 |          2 |          6 |
| d:\Flutter Application\book_store\lib\ProductDetail\ui\product_detail_page.dart                    | Dart     |          3 |          0 |          0 |          3 |
| d:\Flutter Application\book_store\lib\SearchPage\bloc\search_bloc.dart                             | Dart     |         96 |          0 |         19 |        115 |
| d:\Flutter Application\book_store\lib\SearchPage\bloc\search_event.dart                            | Dart     |         21 |          0 |         11 |         32 |
| d:\Flutter Application\book_store\lib\SearchPage\bloc\search_state.dart                            | Dart     |         17 |          0 |          9 |         26 |
| d:\Flutter Application\book_store\lib\SearchPage\ui\search_loading_page.dart                       | Dart     |         54 |          0 |          3 |         57 |
| d:\Flutter Application\book_store\lib\SearchPage\ui\search_page.dart                               | Dart     |        107 |          0 |          5 |        112 |
| d:\Flutter Application\book_store\lib\SearchPage\ui\search_result_page.dart                        | Dart     |         65 |          0 |          4 |         69 |
| d:\Flutter Application\book_store\lib\SearchPage\ui\search_suggestion_item.dart                    | Dart     |         32 |          0 |          3 |         35 |
| d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\bloc\await_pickup_bloc.dart          | Dart     |         16 |          0 |          3 |         19 |
| d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\bloc\await_pickup_event.dart         | Dart     |          4 |          0 |          2 |          6 |
| d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\ui\await_pickup_page.dart            | Dart     |         19 |          0 |          0 |         19 |
| d:\Flutter Application\book_store\lib\Transaction\Cancelled\ui\cancelled_transaction_page.dart     | Dart     |         13 |          0 |          0 |         13 |
| d:\Flutter Application\book_store\lib\Transaction\Delivered\ui\delivered_transaction_page.dart     | Dart     |         13 |          0 |          0 |         13 |
| d:\Flutter Application\book_store\lib\Transaction\Delivering\bloc\delivering_bloc.dart             | Dart     |         15 |          1 |          0 |         16 |
| d:\Flutter Application\book_store\lib\Transaction\Delivering\ui\delivering_transaction_page.dart   | Dart     |         30 |          0 |          0 |         30 |
| d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\bloc\unconfirmed_bloc.dart           | Dart     |         16 |          0 |          2 |         18 |
| d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\bloc\unconfirmed_event.dart          | Dart     |          4 |          0 |          2 |          6 |
| d:\Flutter Application\book_store\lib\Transaction\Unconfirmed\ui\unconfirmed_transaction_page.dart | Dart     |          9 |          0 |          0 |          9 |
| d:\Flutter Application\book_store\lib\Transaction\ui\abstract_transaction_detail_page.dart         | Dart     |         42 |          0 |          0 |         42 |
| d:\Flutter Application\book_store\lib\Transaction\ui\abstract_transaction_item.dart                | Dart     |          8 |          0 |          1 |          9 |
| d:\Flutter Application\book_store\lib\Transaction\ui\confirm_cancelled_dialog.dart                 | Dart     |         -2 |          0 |          0 |         -2 |
| d:\Flutter Application\book_store\lib\Transaction\ui\confirm_received_dialog.dart                  | Dart     |        108 |          0 |          3 |        111 |
| d:\Flutter Application\book_store\lib\Transaction\ui\transaction_detail_cancel_page.dart           | Dart     |          5 |          0 |          0 |          5 |
| d:\Flutter Application\book_store\lib\models\create_order_response.dart                            | Dart     |         28 |          0 |          3 |         31 |
| d:\Flutter Application\book_store\lib\models\payment_method_model.dart                             | Dart     |         26 |          0 |          3 |         29 |
| d:\Flutter Application\book_store\lib\models\search_suggestion_model.dart                          | Dart     |         26 |          0 |          5 |         31 |
| d:\Flutter Application\book_store\lib\models\transaction_model.dart                                | Dart     |         10 |          0 |          0 |         10 |
| d:\Flutter Application\book_store\lib\theme.dart                                                   | Dart     |          3 |          0 |          0 |          3 |
| d:\Flutter Application\book_store\lib\utils\convert.dart                                           | Dart     |          4 |          0 |          1 |          5 |
| d:\Flutter Application\book_store\lib\utils\zalopay_app_config.dart                                | Dart     |          9 |          0 |          2 |         11 |
| Total                                                                                              |          |      1,187 |          0 |        125 |      1,312 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
