"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_bloc.dart", "Dart", 121, 8, 23, 152
"d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_event.dart", "Dart", 24, 0, 13, 37
"d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_state.dart", "Dart", 12, 0, 7, 19
"d:\Flutter Application\book_store\lib\AddressSetting\ui\add_address_page.dart", "Dart", 176, 0, 8, 184
"d:\Flutter Application\book_store\lib\AddressSetting\ui\address_loading.dart", "Dart", 102, 0, 3, 105
"d:\Flutter Application\book_store\lib\AddressSetting\ui\address_setting.dart", "Dart", 176, 0, 5, 181
"d:\Flutter Application\book_store\lib\Authentication Service\auth_service.dart", "Dart", 60, 1, 9, 70
"d:\Flutter Application\book_store\lib\Cart\bloc\cart_bloc.dart", "Dart", 206, 0, 22, 228
"d:\Flutter Application\book_store\lib\Cart\bloc\cart_event.dart", "Dart", 36, 0, 16, 52
"d:\Flutter Application\book_store\lib\Cart\bloc\cart_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Cart\ui\cart_item.dart", "Dart", 194, 0, 4, 198
"d:\Flutter Application\book_store\lib\Cart\ui\cart_item_loading.dart", "Dart", 190, 0, 3, 193
"d:\Flutter Application\book_store\lib\Cart\ui\cart_loading_page.dart", "Dart", 117, 0, 3, 120
"d:\Flutter Application\book_store\lib\Cart\ui\cart_page.dart", "Dart", 278, 1, 9, 288
"d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_bloc.dart", "Dart", 51, 0, 7, 58
"d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_event.dart", "Dart", 10, 0, 5, 15
"d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_state.dart", "Dart", 15, 0, 6, 21
"d:\Flutter Application\book_store\lib\Category\ChildCategory\ui\child_category_page.dart", "Dart", 100, 0, 5, 105
"d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_bloc.dart", "Dart", 51, 0, 7, 58
"d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_event.dart", "Dart", 10, 0, 5, 15
"d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_state.dart", "Dart", 15, 0, 6, 21
"d:\Flutter Application\book_store\lib\Category\ComicCategory\ui\comic_category_page.dart", "Dart", 100, 0, 5, 105
"d:\Flutter Application\book_store\lib\Category\LiteratureCategory\bloc\literature_bloc.dart", "Dart", 51, 0, 7, 58
"d:\Flutter Application\book_store\lib\Category\LiteratureCategory\bloc\literature_event.dart", "Dart", 10, 0, 5, 15
